datetime,country,inv_type,banner_type,exchange,ad_size,is_video,video_duration,placement_type,spend,impressions,clicks,installs,installs_cta,buys_d1,buys_d3,buys_d7,revenue_d1,revenue_d3,revenue_d7,buyers_d1,buyers_d3,buyers_d7
2023-11-02,DE,in_app,vast,Chartboost,interstitial_landscape,1,45,interstitial video,0.00834,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,US,in_app,image,DT Exchange,xlarge,0,0,banner static,248.3954,551392,583,74,1,9,19,34,18.91,45.81,83.65,2,3,3
2023-11-04,DE,in_app,image,PubMatic,interstitial,0,0,interstitial static,97.07496,72567,24336,27,21,1,1,1,1.06305871,1.06305871,1.06305871,1,1,1
2023-11-04,US,in_app,vast,Inmobi,interstitial_landscape,1,30,interstitial video,31.34106,3093,1197,1,0,0,0,0,0,0,0,0,0,0
2023-11-03,MX,in_app,image,AppLovin,xlarge,0,0,banner static,36.54401,167562,717,13,0,0,0,0,0,0,0,0,0,0
2023-11-02,GB,in_app,image,Ogury,interstitial,0,0,interstitial static,6.63419,742,301,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,GB,in_app,image,Chartboost,xlarge,0,0,banner static,0.30056,22972,21,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,DE,in_app,image,PubMatic,xlarge,0,0,banner static,7.65688,37287,28,5,0,0,0,0,0,0,0,0,0,0
2023-11-06,GB,in_app,vast,Inmobi,interstitial,1,30,interstitial video,10.66877,1280,287,6,4,0,0,0,0,0,0,0,0,0
2023-11-18,US,in_app,image,Unity,xlarge,0,0,banner static,92.31005,216385,251,41,0,2,2,3,2.98,2.98,3.97,1,1,2
2023-12-03,DE,in_app,image,PubNative,xlarge,0,0,banner static,9.74788,100691,69,8,0,0,0,0,0,0,0,0,0,0
2023-11-15,CA,in_app,vast,Mintegral,interstitial_landscape,1,30,interstitial video,0.4461,59,8,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,CA,in_app,vast,Vungle,interstitial,1,27,interstitial video,28.9916,2696,1814,2,1,0,0,0,0,0,0,0,0,0
2023-11-13,DE,in_app,image,MobilityWare,xlarge,0,0,banner static,0.01507,164,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,MX,in_app,image,Bidmachine D,mpu,0,0,banner static,0.18134,902,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-22,DE,in_app,image,IronSource,mpu,0,0,banner static,0.00003,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,GB,in_app,vast,DT Exchange,interstitial_landscape,1,30,interstitial video,6.93548,536,284,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,DE,in_app,vast,DT Exchange,interstitial_landscape,1,30,rewarded video,0.2975,78,19,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,CA,in_app,image,Unity,xlarge,0,0,banner static,12.16606,48803,33,7,0,0,0,0,0,0,0,0,0,0
2023-11-26,US,in_app,vast,Bidmachine D,interstitial,1,30,rewarded video,22.99363,613,147,0,0,0,0,0,0,0,0,0,0,0
2023-11-28,US,in_app,image,Bidmachine D,xlarge,0,0,banner static,8.10267,46325,43,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,US,in_app,image,Inmobi,mpu,0,0,banner static,58.45428,40553,66,7,1,0,0,0,0,0,0,0,0,0
2023-11-12,GB,in_app,vast,Vungle,interstitial,1,27,interstitial video,33.22236,3380,2440,5,5,0,0,0,0,0,0,0,0,0
2023-11-25,DE,in_app,vast,Unity,interstitial,1,30,interstitial video,4.20611,518,288,1,1,0,0,0,0,0,0,0,0,0
2023-11-04,DE,in_app,image,Equativ,interstitial,0,0,interstitial static,19.21911,9059,985,2,1,0,0,0,0,0,0,0,0,0
2023-11-26,GB,in_app,image,DT Exchange,interstitial,0,0,interstitial static,3.77823,471,210,2,1,0,0,0,0,0,0,0,0,0
2023-11-30,DE,in_app,vast,MobilityWare,interstitial,1,30,interstitial video,0.0238,7,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,CA,in_app,image,Vungle,xlarge,0,0,banner static,3.46153,23643,23,4,0,0,0,0,0,0,0,0,0,0
2023-11-01,US,in_app,vast,DT Exchange,interstitial,1,30,interstitial video,47.74908,4163,1322,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,GB,in_app,image,Bidmachine D,mpu,0,0,banner static,0.0035,36,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,US,in_app,vast,Bidmachine D,interstitial,1,30,interstitial video,7.62034,793,82,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,US,in_app,vast,Chartboost,interstitial,1,30,rewarded video,0.2294,30,10,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,US,in_app,vast,Unity,interstitial,1,30,interstitial video,228.38423,10724,6178,23,18,0,0,0,0,0,0,0,0,0
2023-11-22,GB,in_app,image,DT Exchange,interstitial_landscape,0,0,interstitial static,2.99478,320,176,0,0,0,0,0,0,0,0,0,0,0
2023-11-29,DE,in_app,vast,Chartboost,interstitial_landscape,1,30,rewarded video,1.81528,153,46,2,2,0,0,0,0,0,0,0,0,0
2023-11-25,CA,in_app,vast,DT Exchange,interstitial_landscape,1,30,interstitial video,0.09364,11,3,0,0,0,0,0,0,0,0,0,0,0
2023-11-29,CA,in_app,image,Vungle,xlarge,0,0,banner static,5.25781,19633,20,2,0,0,0,0,0,0,0,0,0,0
2023-11-19,DE,in_app,image,PubNative,mpu,0,0,banner static,0.29138,2253,6,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,DE,in_app,image,PubNative,xlarge,0,0,banner static,2.84862,31677,29,5,0,0,0,0,0,0,0,0,0,0
2023-11-02,US,in_app,vast,Mintegral,interstitial,1,30,interstitial video,896.58024,53546,44919,61,59,0,1,3,0,2.99,8.96,0,1,2
2023-11-24,DE,in_app,native,Inmobi,native,0,0,banner static,5.99253,108000,52,3,1,0,0,0,0,0,0,0,0,0
2023-11-18,US,in_app,vast,IronSource,interstitial_landscape,1,30,interstitial video,1.16704,58,11,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,GB,in_app,image,Inmobi,xlarge,0,0,banner static,1.36177,35471,18,8,0,0,0,0,0,0,0,0,0,0
2023-11-07,GB,in_app,image,Vungle,interstitial_landscape,0,0,interstitial static,6.09559,608,70,0,0,0,0,0,0,0,0,0,0,0
2023-11-11,DE,in_app,vast,Chartboost,interstitial_landscape,1,42,rewarded video,1.37817,134,22,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,DE,in_app,image,Equativ,interstitial_landscape,0,0,interstitial static,2.92802,4306,7,1,0,0,0,0,0,0,0,0,0,0
2023-11-16,DE,in_app,image,DT Exchange,xlarge,0,0,banner static,0.71326,13272,7,2,0,0,0,0,0,0,0,0,0,0
2023-11-13,DE,in_app,image,Google,interstitial,0,0,interstitial static,137.27828,107704,6579,58,2,0,1,2,0,2.163654946,4.33602545,0,1,1
2023-11-17,GB,in_app,image,IronSource,xlarge,0,0,banner static,2.64174,46915,29,2,0,0,0,0,0,0,0,0,0,0
2023-11-16,DE,in_app,image,IronSource,xlarge,0,0,banner static,0.26475,5717,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,GB,in_app,image,Inmobi,interstitial,0,0,interstitial static,0.60693,59,12,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,US,in_app,vast,Unity,interstitial_landscape,1,30,interstitial video,135.12747,7662,5845,15,15,0,0,0,0,0,0,0,0,0
2023-11-10,GB,in_app,image,AppLovin,mpu,0,0,banner static,7.73257,155220,388,20,0,0,0,0,0,0,0,0,0,0
2023-11-12,US,in_app,vast,DT Exchange,interstitial,1,30,rewarded video,112.27338,4526,2247,6,5,0,0,0,0,0,0,0,0,0
2023-11-02,US,in_app,vast,Vungle,interstitial,1,30,rewarded video,107.41718,6493,5694,6,6,2,2,2,2.98,2.98,2.98,1,1,1
2023-11-07,GB,in_app,vast,Unity,interstitial,1,27,interstitial video,7.18218,713,319,2,2,0,0,0,0,0,0,0,0,0
2023-11-23,US,in_app,vast,PubNative,interstitial_landscape,1,30,interstitial video,0.03284,30,18,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,DE,in_app,vast,DT Exchange,interstitial_landscape,1,42,interstitial video,0.07379,15,8,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,US,in_app,vast,DT Exchange,interstitial,1,30,interstitial video,62.2049,3157,1214,3,3,0,0,0,0,0,0,0,0,0
2023-11-06,MX,in_app,vast,Bidmachine D,interstitial_landscape,1,30,interstitial video,1.37924,426,104,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,US,in_app,vast,DT Exchange,interstitial_landscape,1,30,rewarded video,6.18219,350,122,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,CA,in_app,image,Chartboost,leaderboard,0,0,banner static,0.03628,1754,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,GB,in_app,vast,Inmobi,interstitial_landscape,1,30,interstitial video,19.38538,2312,597,1,0,0,0,0,0,0,0,0,0,0
2023-11-06,MX,in_app,vast,Bidmachine D,interstitial,1,30,rewarded video,0.19971,12,5,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,GB,in_app,vast,Inmobi,interstitial_landscape,1,30,interstitial video,1.98061,206,40,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,GB,in_app,vast,Bidmachine D,interstitial,1,27,interstitial video,0.7284,99,10,0,0,0,0,0,0,0,0,0,0,0
2023-11-23,US,in_app,native,IronSource,native,0,0,banner static,0.02006,855,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,GB,in_app,vast,Unity,interstitial,1,27,interstitial video,8.81336,930,402,1,1,0,0,0,0,0,0,0,0,0
2023-12-03,GB,in_app,image,Google,leaderboard,0,0,banner static,0.17655,13346,31,2,0,0,0,0,0,0,0,0,0,0
2023-11-18,GB,in_app,image,DT Exchange,interstitial_landscape,0,0,interstitial static,16.13235,1441,721,4,3,0,0,0,0,0,0,0,0,0
2023-11-04,US,in_app,vast,Vungle,interstitial_landscape,1,30,rewarded video,25.40016,2167,1803,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,GB,in_app,image,DT Exchange,interstitial_landscape,0,0,interstitial static,9.84887,1029,500,3,2,0,0,0,0,0,0,0,0,0
2023-11-05,DE,in_app,image,Chartboost,mpu,0,0,banner static,0.16467,699,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-22,CA,in_app,vast,Vungle,interstitial,1,30,interstitial video,9.01637,1309,847,1,1,1,1,2,14.58219353,14.58219353,29.23171169,0,0,0
2023-11-12,US,in_app,image,AppLovin,leaderboard,0,0,banner static,6.1818,68259,65,0,0,0,0,0,0,0,0,0,0,0
2023-11-29,GB,in_app,image,AppLovin,leaderboard,0,0,banner static,0.17747,6611,38,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,DE,in_app,image,DT Exchange,leaderboard,0,0,banner static,0.00976,402,0,1,0,0,0,0,0,0,0,0,0,0
2023-12-03,DE,in_app,image,DT Exchange,interstitial,0,0,interstitial static,0.48559,141,60,0,0,0,0,0,0,0,0,0,0,0
2023-11-26,GB,in_app,image,Bidmachine D,leaderboard,0,0,banner static,0.07038,7780,55,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,CA,in_app,vast,Mintegral,interstitial_landscape,1,30,interstitial video,0.10677,20,6,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,CA,in_app,native,Google,native,0,0,banner static,0.74422,6160,8,1,0,0,0,0,0,0,0,0,0,0
2023-12-01,GB,in_app,image,Google,xlarge,0,0,banner static,6.38953,175770,245,6,0,0,0,0,0,0,0,0,0,0
2023-11-15,DE,in_app,vast,DT Exchange,interstitial,1,42,interstitial video,1.7021,269,121,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,DE,in_app,image,Vungle,leaderboard,0,0,banner static,0.00927,401,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,DE,in_app,image,Bidmachine D,leaderboard,0,0,banner static,0.55789,8189,22,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,MX,in_app,image,Equativ,xlarge,0,0,banner static,36.65577,91001,387,23,1,5,5,10,15.14329467,15.14329467,47.86505219,2,2,2
2023-11-17,DE,in_app,image,Inmobi,leaderboard,0,0,banner static,0.23266,5342,7,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,DE,in_app,image,Chartboost,xlarge,0,0,banner static,12.38582,84768,78,10,0,0,0,0,0,0,0,0,0,0
2023-11-03,GB,in_app,vast,Unity,interstitial_landscape,1,30,interstitial video,4.91079,485,241,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,US,in_app,image,Unity,xlarge,0,0,banner static,77.13551,181164,195,29,1,0,0,0,0,0,0,0,0,0
2023-11-28,CA,in_app,native,Rakuten,native,0,0,banner static,0.10573,68,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,DE,in_app,vast,Unity,interstitial_landscape,1,30,interstitial video,1.03075,208,93,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,DE,in_app,vast,Chartboost,interstitial,1,42,rewarded video,3.22128,490,103,1,1,0,0,0,0,0,0,0,0,0
2023-11-19,DE,in_app,image,PubNative,leaderboard,0,0,banner static,0.06436,1102,53,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,DE,in_app,native,AppLovin,native,0,0,banner static,0.21617,3277,39,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,GB,in_app,vast,DT Exchange,interstitial_landscape,1,30,interstitial video,2.39138,167,89,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,DE,in_app,vast,Vungle,interstitial_landscape,1,30,interstitial video,2.03319,270,268,1,1,0,0,0,0,0,0,0,0,0
2023-11-22,CA,in_app,vast,Unity,interstitial,1,27,interstitial video,0.13862,27,11,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,US,in_app,image,IronSource,mpu,0,0,banner static,0.10623,506,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,US,in_app,vast,DT Exchange,interstitial_landscape,1,30,interstitial video,14.70698,831,394,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,GB,in_app,image,IronSource,leaderboard,0,0,banner static,0.02099,1763,5,0,0,0,0,0,0,0,0,0,0,0
2023-11-08,DE,in_app,image,Equativ,interstitial,0,0,interstitial static,19.07847,10449,1912,5,3,0,0,0,0,0,0,0,0,0
2023-11-26,GB,in_app,image,AppLovin,xlarge,0,0,banner static,3.96081,92504,109,5,0,0,0,3,0,0,13.91809657,0,0,1
2023-11-07,CA,in_app,vast,Bidmachine D,interstitial,1,30,interstitial video,0.66072,360,103,0,0,0,0,0,0,0,0,0,0,0
2023-11-09,GB,in_app,vast,Vungle,interstitial,1,30,interstitial video,22.73481,2783,1919,1,1,0,1,1,0,3.910122934,3.910122934,0,1,1
2023-11-01,US,in_app,image,Inmobi,mpu,0,0,banner static,4.97393,4364,7,0,0,0,0,0,0,0,0,0,0,0
2023-11-11,CA,in_app,vast,Unity,interstitial_landscape,1,30,rewarded video,2.15259,312,81,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,MX,in_app,image,PubNative,xlarge,0,0,banner static,13.88505,246562,153,4,0,0,0,0,0,0,0,0,0,0
2023-12-01,GB,in_app,image,MobilityWare,xlarge,0,0,banner static,0.04179,431,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,GB,in_app,image,Google,interstitial_landscape,0,0,interstitial static,3.36673,963,141,3,3,0,0,0,0,0,0,0,0,0
2023-11-21,GB,in_app,image,Bidmachine D,xlarge,0,0,banner static,1.93745,45055,40,5,0,0,0,2,0,0,6.284149558,0,0,1
2023-11-20,US,in_app,native,Google,native,0,0,banner static,0.10362,2461,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-07,DE,in_app,vast,Chartboost,interstitial,1,42,interstitial video,0.19316,58,15,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,CA,in_app,image,Chartboost,mpu,0,0,banner static,0.01056,442,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,GB,in_app,image,MobilityWare,xlarge,0,0,banner static,0.04747,496,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,DE,in_app,image,Vungle,leaderboard,0,0,banner static,0.01015,401,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,MX,in_app,vast,Bidmachine D,interstitial,1,30,rewarded video,1.05362,97,40,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,GB,in_app,vast,Vungle,interstitial,1,45,interstitial video,3.7675,309,207,1,1,0,0,0,0,0,0,0,0,0
2023-11-08,DE,in_app,image,Mintegral,mpu,0,0,banner static,0.47081,1720,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,CA,in_app,vast,Vungle,interstitial_landscape,1,30,rewarded video,38.30555,3072,1851,1,1,0,0,0,0,0,0,0,0,0
2023-11-20,CA,in_app,vast,MobilityWare,interstitial,1,30,interstitial video,0.10739,71,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,GB,in_app,image,Google,xlarge,0,0,banner static,30.21368,1969170,1570,19,1,0,1,1,0,3.67673732,3.67673732,0,1,1
2023-11-18,CA,in_app,vast,Unity,interstitial,1,30,rewarded video,3.58651,416,130,1,0,0,0,0,0,0,0,0,0,0
2023-11-02,US,in_app,vast,IronSource,interstitial,1,45,interstitial video,6.01046,351,43,0,0,0,0,0,0,0,0,0,0,0
2023-11-23,CA,in_app,image,DT Exchange,interstitial,0,0,interstitial static,0.00306,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-14,DE,in_app,image,PubMatic,xlarge,0,0,banner static,19.12333,59489,37,12,0,0,0,1,0,0,3.264013973,0,0,1
2023-11-02,US,in_app,vast,MobilityWare,interstitial,1,45,interstitial video,0.06608,11,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-08,US,in_app,image,Ogury,xlarge,0,0,banner static,0.83593,714,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,US,in_app,vast,DT Exchange,interstitial,1,30,rewarded video,38.76448,1783,849,3,2,0,0,0,0,0,0,0,0,0
2023-11-18,DE,in_app,image,Vungle,interstitial,0,0,interstitial static,3.4921,487,127,0,0,0,0,0,0,0,0,0,0,0
2023-12-02,US,in_app,image,Inmobi,leaderboard,0,0,banner static,73.56533,372631,167,24,0,0,0,0,0,0,0,0,0,0
2023-11-18,CA,in_app,image,IronSource,xlarge,0,0,banner static,7.04365,58581,31,6,0,0,0,0,0,0,0,0,0,0
2023-11-04,US,in_app,image,AppLovin,mpu,0,0,banner static,40.28029,80452,20,21,0,0,0,0,0,0,0,0,0,0
2023-11-29,CA,in_app,image,Inmobi,mpu,0,0,banner static,0.01852,166,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,DE,in_app,image,DT Exchange,xlarge,0,0,banner static,7.70154,123495,73,6,0,0,0,0,0,0,0,0,0,0
2023-11-30,CA,in_app,image,Bidmachine D,xlarge,0,0,banner static,8.23876,77605,47,4,0,1,1,1,0.73285562,0.73285562,0.73285562,1,1,1
2023-11-15,CA,in_app,image,AppLovin,xlarge,0,0,banner static,22.36198,281031,155,6,0,0,0,0,0,0,0,0,0,0
2023-11-02,DE,in_app,image,Vungle,interstitial,0,0,interstitial static,18.58667,1960,673,2,2,0,0,0,0,0,0,0,0,0
2023-11-30,GB,in_app,native,AppLovin,native,0,0,banner static,0.76537,12561,15,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,DE,in_app,vast,Unity,interstitial,1,42,rewarded video,1.76682,602,193,1,1,0,0,0,0,0,0,0,0,0
2023-11-12,CA,in_app,image,DT Exchange,xlarge,0,0,banner static,30.29525,195045,134,14,1,0,0,0,0,0,0,0,0,0
2023-11-01,MX,in_app,vast,IronSource,interstitial_landscape,1,45,interstitial video,1.85462,709,123,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,CA,in_app,vast,PubNative,interstitial,1,30,interstitial video,0.07429,28,9,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,DE,in_app,vast,DT Exchange,interstitial,1,30,interstitial video,2.01139,235,120,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,GB,in_app,image,DT Exchange,xlarge,0,0,banner static,31.262,316276,209,33,0,0,1,2,0,1.21634323,3.648719503,0,1,1
2023-11-11,GB,in_app,vast,Inmobi,interstitial,1,30,rewarded video,2.55633,474,162,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,CA,in_app,image,Google,leaderboard,0,0,banner static,0.03457,2344,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,GB,in_app,vast,Vungle,interstitial_landscape,1,30,interstitial video,14.51712,1225,811,2,2,0,0,0,0,0,0,0,0,0
2023-11-02,US,in_app,image,DT Exchange,mpu,0,0,banner static,11.3254,33364,14,7,0,0,0,0,0,0,0,0,0,0
2023-11-22,DE,in_app,image,Equativ,interstitial,0,0,interstitial static,9.90986,4944,1596,3,2,0,0,0,0,0,0,0,0,0
2023-11-10,US,in_app,image,Chartboost,xlarge,0,0,banner static,26.17259,167397,101,7,0,0,0,0,0,0,0,0,0,0
2023-11-27,GB,in_app,image,AppLovin,mpu,0,0,banner static,11.1679,152951,140,46,0,1,2,3,1.248289906,5.048928006,7.576027658,1,2,3
2023-11-26,US,in_app,vast,DT Exchange,interstitial,1,30,rewarded video,8.69214,398,180,1,1,0,0,0,0,0,0,0,0,0
2023-11-21,US,in_app,vast,Unity,interstitial,1,30,interstitial video,135.82245,7893,4781,10,10,1,1,1,2.99,2.99,2.99,1,1,1
2023-11-14,DE,in_app,image,Inmobi,leaderboard,0,0,banner static,1.1699,32039,21,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,US,in_app,vast,AppLovin,interstitial_landscape,1,30,interstitial video,1.73831,98,40,0,0,0,0,0,0,0,0,0,0,0
2023-11-23,US,in_app,vast,Chartboost,interstitial_landscape,1,30,rewarded video,0.82444,146,21,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,US,in_app,vast,DT Exchange,interstitial,1,30,interstitial video,156.35829,6955,3515,7,7,0,0,0,0,0,0,0,0,0
2023-11-25,US,in_app,vast,Inmobi,interstitial_landscape,1,30,interstitial video,13.65331,915,241,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,CA,in_app,image,Google,xlarge,0,0,banner static,97.74727,442627,420,35,1,3,8,9,7.990770885,36.20723819,39.0986473,2,2,2
2023-11-30,GB,in_app,vast,DT Exchange,interstitial,1,30,rewarded video,15.87367,1338,539,2,2,0,0,0,0,0,0,0,0,0
2023-11-03,GB,in_app,vast,Vungle,interstitial_landscape,1,30,interstitial video,11.36563,897,613,1,1,0,0,0,0,0,0,0,0,0
2023-11-20,US,in_app,native,Inmobi,native,0,0,banner static,1.81087,4782,1,1,0,0,0,0,0,0,0,0,0,0
2023-11-19,US,in_app,image,IronSource,leaderboard,0,0,banner static,0.03508,451,1,0,0,0,0,0,0,0,0,0,0,0
2023-12-02,US,in_app,image,Chartboost,mpu,0,0,banner static,0.11957,332,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,CA,in_app,vast,MobilityWare,interstitial,1,30,interstitial video,0.01383,7,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-02,CA,in_app,image,Inmobi,mpu,0,0,banner static,0.08461,559,3,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,GB,in_app,image,IronSource,leaderboard,0,0,banner static,0.01229,747,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,US,in_app,image,AppLovin,mpu,0,0,banner static,1.47473,6763,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,CA,in_app,vast,Vungle,interstitial,1,30,interstitial video,13.80117,1686,1046,4,4,0,0,0,0,0,0,0,0,0
2023-12-01,US,in_app,vast,IronSource,interstitial,1,30,rewarded video,2.15102,192,35,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,GB,in_app,vast,Bidmachine D,interstitial,1,30,interstitial video,7.3906,810,74,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,US,in_app,image,AppLovin,xlarge,0,0,banner static,132.78127,1413630,613,51,0,0,0,0,0,0,0,0,0,0
2023-11-23,DE,in_app,vast,DT Exchange,interstitial_landscape,1,30,interstitial video,0.0149,5,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,CA,in_app,vast,Vungle,interstitial,1,27,interstitial video,75.08829,6989,4553,3,3,0,0,0,0,0,0,0,0,0
2023-11-20,DE,in_app,vast,Vungle,interstitial,1,42,interstitial video,3.2506,444,416,4,3,0,0,0,0,0,0,0,0,0
2023-11-21,CA,in_app,image,Bidmachine D,xlarge,0,0,banner static,2.53233,29575,27,1,0,0,0,0,0,0,0,0,0,0
2023-11-22,CA,in_app,image,Vungle,xlarge,0,0,banner static,2.60677,15506,4,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,US,in_app,vast,Vungle,interstitial,1,45,interstitial video,84.15067,4745,4267,9,8,0,0,0,0,0,0,0,0,0
2023-11-04,CA,in_app,image,Google,mpu,0,0,banner static,4.10931,11011,8,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,US,in_app,image,AppLovin,leaderboard,0,0,banner static,0.39793,9512,10,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,DE,in_app,vast,Mintegral,interstitial,1,30,interstitial video,29.52192,7325,6519,5,5,0,0,0,0,0,0,0,0,0
